customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,totcharges_to_tenure_ratio
7590-VHVEG,1,0,0,2,29.85,29.85,0,29.85
5575-GNVDE,34,1,2,3,56.95,1889.5,0,55.57352941
3668-QPYBK,2,1,0,3,53.85,108.15,1,54.075
7795-CFOCW,45,0,2,0,42.3,1840.75,0,40.90555556
9237-HQITU,2,1,0,2,70.7,151.65,1,75.825
9305-CDSKC,8,1,0,2,99.65,820.5,1,102.5625
1452-KIOVK,22,1,0,1,89.1,1949.4,0,88.60909091
6713-OKOMC,10,0,0,3,29.75,301.9,0,30.19
7892-POOKP,28,1,0,2,104.8,3046.05,1,108.7875
6388-TABGU,62,1,2,0,56.15,3487.95,0,56.25725806
9763-GRSKD,13,1,0,3,49.95,587.45,0,45.18846154
7469-LKBCI,16,1,3,1,18.95,326.8,0,20.425
8091-TTVAX,58,1,2,1,100.35,5681.1,0,97.95
0280-XJGEX,49,1,0,0,103.7,5036.3,1,102.7816327
5129-JLPIS,25,1,0,2,105.5,2686.05,0,107.442
3655-SNQYZ,69,1,3,1,113.25,7895.15,0,114.4224638
8191-XWSZG,52,1,2,3,20.65,1022.95,0,19.67211538
9959-WOFKT,71,1,3,0,106.7,7382.25,0,103.9753521
4190-MFLUW,10,1,0,1,55.2,528.35,1,52.835
4183-MYFRB,21,1,0,2,90.05,1862.9,0,88.70952381
8779-QRDMV,1,0,0,2,39.65,39.65,1,39.65
1680-VDCWW,12,1,2,0,19.8,202.25,0,16.85416667
1066-JKSGK,1,1,0,3,20.15,20.15,1,20.15
3638-WEABW,58,1,3,1,59.9,3505.1,0,60.43275862
6322-HRPFA,49,1,0,1,59.6,2970.3,0,60.61836735
6865-JZNKO,30,1,0,0,55.3,1530.6,0,51.02
6467-CHFZW,47,1,0,2,99.35,4749.15,1,101.0457447
8665-UTDHZ,1,0,0,2,30.2,30.2,1,30.2
5248-YGIJN,72,1,3,1,90.25,6369.45,0,88.46458333
8773-HHUOZ,17,1,0,3,64.7,1093.1,1,64.3
3841-NFECX,71,1,3,1,96.35,6766.95,0,95.30915493
4929-XIHVW,2,1,0,1,95.5,181.65,0,90.825
6827-IEAUQ,27,1,2,3,66.15,1874.45,0,69.42407407
7310-EGVHZ,1,1,0,0,20.2,20.2,0,20.2
3413-BMNZE,1,1,0,0,45.25,45.25,0,45.25
6234-RAAPL,72,1,3,0,99.9,7251.7,0,100.7180556
6047-YHPVI,5,1,0,2,69.7,316.9,1,63.38
6572-ADKRS,46,1,0,1,74.8,3548.3,0,77.13695652
